::1 - - [05/Nov/2024:23:13:58 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 304 -
::1 - - [05/Nov/2024:23:13:58 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:14:08 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
::1 - - [05/Nov/2024:23:14:08 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:14:17 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
::1 - - [05/Nov/2024:23:14:17 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 304 -
::1 - - [05/Nov/2024:23:14:17 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:14:35 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
::1 - - [05/Nov/2024:23:14:35 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 200 919
::1 - - [05/Nov/2024:23:14:35 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:14:36 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
::1 - - [05/Nov/2024:23:14:36 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 304 -
::1 - - [05/Nov/2024:23:14:36 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:14:40 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
::1 - - [05/Nov/2024:23:14:40 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 200 917
::1 - - [05/Nov/2024:23:14:40 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:14:40 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
